Case #,Crime,Occurred (Averaged),Location,lon,lat
25-01771,Lost Prop.: Lost Property,2017-01-01 0:00,1301 S 46th St,-122.272863,37.8708393
25-02633,INFO: Information Only Report,2017-01-01 0:01,2000 Carleton St,-122.268547,37.860596
25-00152,243 (E)(1): PC; Battery On Spouse/Co-Habitant/Etc; Misdemeanor,2019-05-01 8:01,University Village,-122.272863,37.8708393
25-00105,Lost Prop.: Lost Property,2020-07-01 12:00,Stanley Hall,-122.25608574376449,37.87396185
25-00667,Lost Prop.: Lost Property,2020-10-20 6:20,Stanley Hall,-122.25608574376449,37.87396185
25-00552,242: PC; Battery On Person; Misdemeanor,2021-11-14 11:51,Li Ka Shing Center,-122.265438120222,37.8729723
25-00128,INFO: Information Only Report *Stalking,2022-02-23 14:30,On Campus,-122.272863,37.8708393
25-00760,Lost Prop.: Lost Property,2022-07-02 0:00,Stanley Hall,-122.25608574376449,37.87396185
25-00594,Lost Prop.: Lost Property,2022-07-02 11:42,1898 Le Roy Av,-122.258485,37.875445
25-00658,Lost Prop.: Lost Property,2022-08-01 12:00,Stanley Hall,-122.25608574376449,37.87396185
25-01337,Lost Prop.: Lost Property,2022-09-03 7:13,Minor Hall,-122.25473783871234,37.8715126
25-00740,Lost Prop.: Lost Property,2022-11-05 23:27,Stanley Hall,-122.25608574376449,37.87396185
25-02649,Lost Prop.: Lost Property,2022-12-28 6:00,Cory Hall,-122.2579707,37.8752985
25-00412,Lost Prop.: Lost Property,2023-02-07 13:28,Stanley Hall,-122.25608574376449,37.87396185
25-01904,INFO: Information Only Report *Stalking,2023-02-15 0:00,On Campus,-122.272863,37.8708393
25-00244,Lost Prop.: Lost Property,2023-05-01 12:01,Physics Building,-122.272863,37.8708393
25-00799,Lost Prop.: Lost Property,2023-07-02 0:00,Stanley Hall,-122.25608574376449,37.87396185
25-02044,476: PC; Make/Pass/Etc Ficticious Check With Intent To Defraud; Felony,2023-09-23 10:12,Stanley Hall,-122.25608574376449,37.87396185
25-01018,240: PC; Assault On Person; Misdemeanor,2023-10-01 12:00,2495 Bancroft Wy,-122.2598545,37.869332
25-00854,INFO: Information Only Report *487 (A): PC; Grand Theft:money/Labor/ Property Over $950; Felony,2024-03-08 12:00,Kettleman CA,,
25-00357,487(A): PC; Grand Theft:money/Labor/Property; Felony,2024-03-14 11:55,South Hall,-122.2585374222892,37.87133485
25-01410,Lost Prop.: Lost Property,2024-04-21 20:30,Weill Hall,-122.26323831340244,37.8713331
