Case #,Crime,Occurred (Averaged),Location,lon,lat
23-00879,148.1(A): PC; False Bomb/Etc Report To Peace Officer/Media/Etc; Felony,2023-04-05 01:11,2401 Durant Av,-122.26110790700152,37.8680285
23-00880,Caslty: Injury/Illness,2023-04-05 02:32,2401 Durant Av,-122.26110790700152,37.8680285
23-00884,243.4(A): PC; Sexual Batt By Restraint; Misdemeanor 236: PC; False Imprisonment W/Violence/Etc; Felony SUPP: Supplemental Reports,2023-04-05 16:12,Eucalyptus Grove,-122.26386,37.87131
23-00885,Lost Prop.: Lost Property,2023-03-27 00:00,Evans Hall,-122.25768131042068,37.8736211
23-00886,Caslty: Injury/Illness,2023-04-05 19:16,2299 Piedmont Av,-122.2519432,37.8697156
23-00887,484(A): PC; Petty Theft; Misdemeanor,2023-03-24 12:00,Dwinelle Hall,-122.2607432628604,37.8707285
23-00888,12500 (A): VC; Drive Without Licence; Misdemeanor 4000 (A): VC; No Registration:vehicle/Trailer/Etc; Infraction,2023-04-05 21:24,Shattuck Av,-122.26630775167496,37.85369625053443
23-00852,626.9(B): PC; Possess F/Arm In Schl Zn; Misdemeanor 417.4: PC; Brandishing Firearm Replica; Misdemeanor 626.9(H): PC; Possess/Etc Loaded Firearm:university/ Etc; Felony *Aggravated Assault,2023-04-01 09:10,555 Ohlone Av,-122.272863,37.8708393
23-00853,Caslty: Injury/Illness,2023-04-01 22:08,420 Kula Gulf Wy,-122.3039132,37.8844525
23-00857,487(A): PC; Grand Theft: money/Labor/Property; Felony *Burglary,2023-03-28 23:45,1301 S 46th St,-122.272863,37.8708393
23-00854,OA-BPD: Outside Assist - BPD,2023-04-02 00:13,Bancroft Wy,-122.28565157020569,37.86528873030079
23-00856,484(A): PC; Petty Theft; Misdemeanor *Burglary,2023-03-30 20:30,Zellerbach Hall,-122.26078800973944,37.8690496
23-00858,OA-BPD: Outside Assist - BPD,2023-04-02 20:01,1505 Julia St,-122.2788924067859,37.8544166
23-00859,Caslty: Injury/Illness,2023-04-02 20:44,2650 Durant Av,-122.2552301968402,37.86782
23-00860,INFO: Information Only Report,2023-03-29 17:06,2415 Bowditch St,-122.25621929426624,37.866137951654
23-00861,484(A): PC; Theft Of Personal Property; Misdemeanor,2023-04-03 11:15,2400 Durant Av,-122.260114,37.86724
23-00862,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-03 16:10,Evans Hall,-122.25768131042068,37.8736211
23-00863,484(A): PC; Theft Of Personal Property; Misdemeanor,2023-04-03 18:25,2415 Bowditch St,-122.25621929426624,37.866137951654
23-00864,415(2): PC; Disturb By Loud/Unreasonable Noise; Misdemeanor,2023-04-04 00:30,2424 Haste St,-122.25966220370196,37.86568885
23-00865,Caslty: Injury/Illness,2023-04-04 11:07,West Circle,-122.2634584006226,37.87198569857117
23-00866,Found Prop.: Found Property,2023-04-04 07:04,2521 Hearst Av,-122.2591244,37.8755331
23-00867,484G: PC; Theft By Use Of Access Card Information; Misdemeanor,2023-03-29 23:40,McCone Hall,-122.25970862318384,37.87412275
23-00868,INFO: Information Only Report,2023-04-04 10:47,Anthropology  Art Practice Building Anthropology,-122.25521364874076,37.8698277
23-00869,Caslty: Injury/Illness,2023-04-04 16:21,2650 Durant Av,-122.2552301968402,37.86782
23-00870,Caslty: Injury/Illness,2023-04-04 16:55,Valley Life Science Building Valley Life Science Building,-122.272863,37.8708393
23-00871,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-04 15:30,Dwinelle Hall,-122.2607432628604,37.8707285
23-00872,Lost Prop.: Lost Property,2023-04-04 17:17,Stephens Hall,-122.25769072017832,37.87133
23-00873,10852: VC; Tamper With Vehicle; Misdemeanor,2023-04-02 20:30,Red Oak Av,-122.272863,37.8708393
23-00874,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony 594(A)(1): PC; Vandalism:deface Property; Felony,2023-04-04 20:06,Valley Life Science Building Valley Life Science Building,-122.272863,37.8708393
23-00875,12500 (A): VC; Drive Without Licence; Misdemeanor,2023-04-04 20:50,Buchanan St,-122.272863,37.8708393
23-00876,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-04 19:45,Stephens Hall,-122.25769072017832,37.87133
23-00877,Lost Prop.: Lost Property,2023-04-04 23:12,Valley Life Science Building Valley Life Science Building,-122.272863,37.8708393
23-00878,626: Exclusion Order Issued,2023-04-04 23:47,Tan Hall,-122.25645027921992,37.87309405
