Case #,Crime,Occurred (Averaged),Location,lon,lat
24-00001,FIRE: Fire,2024-01-01 00:45,Peoples Park Housing Construction Site,-122.272863,37.8708393
24-00002,5150: WI; 72 Hour Mental Health Hold; Caslty: Injury/Illness,2024-01-01 10:41,300 Gooding Wy,-122.272863,37.8708393
24-00003,OA-SEXUAL ASSAULT: Outside Assist - Sexual Assault,2023-12-16 12:01,Unknown,-122.272863,37.8708393
24-00004,626: Exclusion Order Issued 647(F): PC; Disorderly Conduct:alcohol; Misdemeanor,2024-01-01 16:40,Upper Sproul Plaza,-122.25940006990032,37.8695157
24-00005,484(A): PC; Theft Of Personal Property; Misdemeanor,2024-01-01 02:04,2645 Haste St,-122.2544244,37.8673072
24-00006,INFO: Information Only Report,2024-01-02 10:39,Social Sciences Building Social Sciences Building,-122.2579343322098,37.87010825
24-00008,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor,2024-01-02 14:17,Gill Tract Gill Tract,-122.272863,37.8708393
24-00009,246.3(B): PC; Wilfl Dschrg Bb Gn Gr Neg; Misdemeanor,2024-01-02 14:23,University Drive,-122.26440805650157,37.87188933887148
24-00010,HAZMAT: Hazardous Condition,2024-01-02 14:42,Memorial Stadium Memorial Stadium,-122.25073605072416,37.8709949
24-00011,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2024-01-02 17:15,Haas Pavilion Haas Pavilion,-122.26220609544905,37.86939045
24-00012,INFO: Information Only Report,2024-01-02 22:49,Peoples Park Housing Construction Site Rev 090418,-122.272863,37.8708393
24-00013,148.9(A): PC; Give False Id To Po; Misdemeanor,2024-01-03 07:23,2301 Bancroft Wy,-122.260816,37.868605
24-00014,INFO: Information Only Report,2024-01-03 10:31,University Village UVA,-122.272863,37.8708393
24-00015,Lost Prop.: Lost Property,2023-12-20 00:00,Hilgard Hall,-122.26344814450144,37.8733962
24-00016,487(D)(1): PC; Grand Theft:auto; Felony 10852: VC; Tamper With Vehicle; Misdemeanor,2024-01-02 23:30,1000 60th St,-122.272863,37.8708393
24-00017,484(A): PC; Petty Theft; Misdemeanor 10852: VC; Tamper With Vehicle; Misdemeanor,2023-04-15 12:00,University Village UVA,-122.272863,37.8708393
24-00018,INFO: Information Only Report,2024-01-03 15:33,2536 Channing Wy,-122.25736188372092,37.86703753488372
24-00019,INFO: Information Only Report,2024-01-03 22:36,Lower Sproul Plaza Rev 090418,-122.26022867883118,37.86920445
24-00020,SUPP: Supplemental Reports 602(K): PC; Tresp Inj Prop/Obstr Bus; Misdemeanor,2024-01-04 00:55,Peoples Park Housing Construction Site,-122.272863,37.8708393
24-00021,602(K): PC; Tresp Inj Prop/Obstr Bus; Misdemeanor,2024-01-04 01:12,Peoples Park Housing Construction Site,-122.272863,37.8708393
24-00022,602(K): PC; Tresp Inj Prop/Obstr Bus; Misdemeanor,2024-01-04 01:20,Peoples Park Housing Construction Site,-122.272863,37.8708393
24-00023,602(K): PC; Tresp Inj Prop/Obstr Bus; Misdemeanor 148(A)(1): PC; Obstruct/Resist/Etc Public/Peace Officer/Emergency Med Tech; Misde,2024-01-04 01:50,Peoples Park Housing Construction Site,-122.272863,37.8708393
24-00024,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor,2024-01-04 02:11,Peoples Park Housing Construction Site,-122.272863,37.8708393
24-00025,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor,2024-01-04 02:19,Peoples Park Housing Construction Site,-122.272863,37.8708393
24-00026,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor,2024-01-04 02:11,Peoples Park Housing Construction Site,-122.272863,37.8708393
24-00027,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor 148(A)(1): PC; Obstruct/Resist/Etc Public/Peace Officer/Emergency Med Tech; Misde,2024-01-04 03:05,Peoples Park Housing Construction Site,-122.272863,37.8708393
24-00028,594(A)(1): PC; Vandalism:deface Property; Misdemeanor,2024-01-04 00:00,Peoples Park Housing Construction Site,-122.272863,37.8708393
24-00029,PRODAM: Property Damage,2024-01-04 04:00,2500 BLOCK Channing Wy,-122.258288,37.866922
24-00030,10852: VC; Tamper With Vehicle; Misdemeanor 10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2024-01-04 07:09,1020 Jackson St,-122.272863,37.8708393
24-00031,415(1): PC; Fight/Challenge Fight Public Place; Misdemeanor 417(A)(1): PC; Exhibit Deadly Weapon Other Than Firearm; Misdemeanor,2024-01-04 05:52,2000 Carleton St,-122.268547,37.860596
24-00032,Civil: Civil Information Report,2024-01-04 10:13,945 Ohlone Av,-122.272863,37.8708393
24-00033,626: Exclusion Order Issued,2024-01-04 13:04,Peoples Park Housing Construction Site,-122.272863,37.8708393
24-00034,INFO: Information Only Report,2024-01-04 12:20,Peoples Park Housing Construction Site,-122.272863,37.8708393
24-00035,Found Prop.: Found Property,2024-01-04 12:22,1801 Walnut St,-122.26769352206912,37.87480242845038
24-00036,594(A)(1): PC; Vandalism:deface Property; Misdemeanor SUPP: Supplemental Reports,2024-01-03 00:00,Barker Hall,-122.26548032875245,37.8739629
24-00037,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony 10852: VC; Tamper With Vehicle; Misdemeanor,2024-01-04 04:30,735 West End Wy,-122.272863,37.8708393
24-00038,INFO: Information Only Report,2024-01-04 12:55,24255 Pacific Coast Highway Rev 090418,-122.272863,37.8708393
24-00039,626: Exclusion Order Issued,2024-01-05 08:11,2400 Durant Av,-122.260114,37.86724
24-00040,Lost Prop.: Lost Property,2024-01-04 23:00,2220 Piedmont Av,-122.25286288751197,37.87097791199431
24-00041,484G: PC; Theft By Use Of Access Card Information; Misdemeanor,2023-12-09 00:00,McLaughlin Hall,-122.25905005086965,37.8738328
24-00042,487(A): PC; Grand Theft:money/Labor/Property; Felony,2023-12-30 00:00,2600 Ridge Rd,-122.25762580138408,37.8760552
24-00043,Caslty: Injury/Illness,2024-01-05 15:08,Hillegass Av,-122.25575127820552,37.85917692174222
24-00044,MP: Missing Person,2022-10-18 12:00,Sproul Hall,-122.25877388866844,37.8696038
24-00045,594(A)(1): PC; Vandalism:deface Property; Misdemeanor,2024-01-04 13:45,625 West End Wy,-122.272863,37.8708393
24-00046,594(A)(1): PC; Vandalism:deface Property; Misdemeanor,2024-01-05 10:19,Sather Gate Rev 090418,-122.2578158,37.8720577
24-00047,484(A): PC; Petty Theft; Misdemeanor,2024-01-06 15:04,3200 Regatta Bl A,-122.272863,37.8708393
24-00048,459: PC; Burglary:first Degree; Felony 626.6(A): PC; Nnstdnt Refuse Leave Univ; Misdemeanor SUPP: Supplemental Reports 1203.2(A): PC; Probation Violation:rearrest/Revoke; Misdemeanor,2024-01-05 21:23,2400 Durant Av,-122.260114,37.86724
24-00049,OA-BPD: Outside Assist - BPD,2024-01-07 05:59,711 Harrison St,-122.304806,37.880793
24-00050,Caslty: Injury/Illness,2024-01-07 12:16,Haste St,-122.26150095271012,37.86565836122066
24-00051,459: PC; Burglary:first Degree; Felony 1203.2(A): PC; Probation Violation:rearrest/Revoke; Misdemeanor 11377(A): HS; Possess Controlled Substance; Misdemeanor 11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor 626.6(A): PC; Nnstdnt Refuse Leave Univ; Misdemeanor SUPP: Supplemental Reports 626: Exclusion Order Issued,2024-01-07 15:36,2400 Durant Av,-122.260114,37.86724
24-00052,PRODAM: Property Damage,2024-01-07 17:00,North Sproul Lot,-122.272863,37.8708393
24-00053,5150: WI; 72 Hour Mental Health Hold; *ARSON,2024-01-07 18:48,Dwight Wy,-122.28431535220662,37.86178476620944
24-00054,PRODAM: Property Damage,2024-01-07 16:45,Hearst Memorial Gymnasium Hearst Gym,-122.257164,37.874153
24-00055,Caslty: Injury/Illness SUPP: Supplemental Reports,2024-01-07 21:09,Lower Sproul Plaza Rev 090418,-122.26022867883118,37.86920445
24-00056,"OUT WRTM: Other Agency Warrant, Misd *978.5: PC; Bench Warrant/Failure To Appear On Misdemeanor Charge; Misdemeanor",2024-01-08 12:37,540 Red Oak Av,-122.272863,37.8708393
24-00057,484G: PC; Theft By Use Of Access Card Information; Misdemeanor,2024-01-08 12:08,Barker Hall,-122.26548032875245,37.8739629
24-00058,Caslty: Injury/Illness,2024-01-08 14:17,Valley Life Science Building,-122.262078,37.871144
