Case #,Crime,Occurred (Averaged),Location,lon,lat
21-00427,594 (A): PC; Vandalism,2021-04-01 01:28,Stanley Hall,-122.25608574376449,37.87396185
21-00428,OA Assist: Outside Agency Assist,2021-03-31 21:00,1040 Jackson St,-122.272863,37.8708393
21-00430,PRODAM: Property Damage,2021-04-01 13:21,Boalt Hall,-122.25358,37.86993
21-00431,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2021-03-30 23:37,2601 Warring St,-122.250147,37.864041
21-00432,10852: VC; Tamper With Vehicle,2021-04-01 15:07,Upper Hearst Structure Upper Hearst Structure Rev 090418,-122.257208,37.875746
21-00434,594: PC; Malicious Mischief/Vandalism,2021-04-02 03:57,ZELLERBACHCESAR CHAVEZ,-122.260048,37.869606
21-00435,647 (E): PC; Disorderly Conduct:lodge Without Owners Consent 626: Exclusion Order Issued,2021-04-02 10:42,Hearst Gym Hearst Gym,-122.272863,37.8708393
21-00436,626: Exclusion Order Issued,2021-04-02 13:21,Sather Tower Sather Tower,-122.2578158,37.8720577
21-00437,11364: HS; Possess Controlled Substance Paraphernalia,2021-04-02 17:16,1301 S 46th Street,-122.272863,37.8708393
21-00438,OABPD: Outside Assist - BPD 11377 (A): HS; Possess Controlled Substance,2021-04-03 00:24,IFO 2511 Dwight Way,-122.2579725,37.86548065
21-00439,10-42: Welfare Check,2021-04-03 01:25,,,
21-00440,Caslty: Injury/Illness,2021-04-03 08:18,2650 Durant Av,-122.2552301968402,37.86782
21-00441,594: PC; Malicious Mischief/Vandalism,2021-03-30 20:44,Mulford Hall,-122.26429165961542,37.87268705
21-00442,Found Prop.: Found Property,2021-04-03 11:21,Pat Browns Grill Pat Browns Grill Rev 090418,-122.272863,37.8708393
21-00443,10-42: Welfare Check,2021-04-04 03:23,Ucpd Ucpd,-122.272863,37.8708393
21-00444,594: PC; Malicious Mischief/Vandalism,2021-04-04 09:03,Sather Tower Sather Tower,-122.2578158,37.8720577
21-00445,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2021-04-04 09:36,West Crescent West Crescent,-122.272863,37.8708393
21-00446,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2021-04-04 08:52,Wellman Brain Imaging Center Wellman Brain Imaging Center,-122.26297965,37.87372715
21-00447,594: PC; Malicious Mischief/Vandalism,2021-04-01 04:24,2001 Gayley Rd,-122.25611709380318,37.87475781058154
21-00448,5150: WI; 72 Hour Mental Health Hold,2021-04-04 20:29,Ucpd Ucpd,-122.272863,37.8708393
21-00449,PRODAM: Property Damage,2021-04-04 23:52,8TH  REDOAK Rev 090418,-122.272863,37.8708393
21-00450,245 (A): PC; Assault With A Deadly Weapon 594 (A)(2): PC; Vandalism: Damage Property 11377 (A): HS; Possess Controlled Substance,2021-04-05 07:02,Landscape Services Building Landscape Services Building Lot,-122.272863,37.8708393
21-00451,459V-F: PC; Burglary Vehicle 664/459V: PC; Attempt: Vehicle Burglary,2021-04-04 00:00,Underhill Lot,-122.272863,37.8708393
21-00452,594: PC; Malicious Mischief/Vandalism,2021-04-01 22:12,2222 Bancroft Wy,-122.26741212033184,37.86774458786539
21-00453,Lost Prop.: Lost Property,2019-08-18 04:30,Giannini Hall,-122.26226332170472,37.8734437
21-00454,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2021-04-05 21:12,Valley Life Science Bldg VLSB Rev 090418,-122.272863,37.8708393
21-00456,Caslty: Injury/Illness,2021-04-06 04:01,1000 6TH 305,-122.272863,37.8708393
21-00457,10852: VC; Tamper With Vehicle,2021-04-04 07:36,805 Kinkead Wy,-122.272863,37.8708393
21-00459,273.6: PC; Violate Court Order to Prevent Domestic Violence 602 (T): PC; Trespass:felon Refuse to Leave Private Property,2021-04-06 17:54,UVA 300 block West End Wy,-122.272863,37.8708393
21-00460,HAZMAT: Hazardous Condition,2021-04-07 07:24,Lbnl Lbnl,-122.2486,37.877132
